11
5/29/2024 6:21 PM
Wavelength (nm)	10mm Absorbance
762.5	0.480
763.0	0.473
763.5	0.466
764.0	0.461
764.5	0.467
765.0	0.477
765.5	0.486
766.0	0.487
766.5	0.493
767.0	0.504
767.5	0.506
768.0	0.502
768.5	0.498
769.0	0.500
769.5	0.504
770.0	0.499
770.5	0.489
771.0	0.480
771.5	0.478
772.0	0.486
772.5	0.471
773.0	0.466
773.5	0.462
774.0	0.466
774.5	0.470
775.0	0.459
775.5	0.452
776.0	0.453
776.5	0.459
777.0	0.466
777.5	0.459
778.0	0.462
778.5	0.463
779.0	0.466
779.5	0.465
780.0	0.452
780.5	0.455
781.0	0.456
781.5	0.461
782.0	0.461
782.5	0.464
783.0	0.460
783.5	0.463
784.0	0.456
784.5	0.447
785.0	0.438
785.5	0.444
786.0	0.452
786.5	0.461
787.0	0.474
787.5	0.481
788.0	0.481
788.5	0.489
789.0	0.485
789.5	0.481
790.0	0.481
790.5	0.482
791.0	0.490
791.5	0.496
792.0	0.489
792.5	0.480
793.0	0.475
793.5	0.470
794.0	0.460
794.5	0.454
795.0	0.471
795.5	0.475
796.0	0.487
796.5	0.493
797.0	0.482
797.5	0.477
798.0	0.464
798.5	0.458
799.0	0.448
799.5	0.439
800.0	0.443
800.5	0.433
801.0	0.435
801.5	0.445
802.0	0.456
802.5	0.463
803.0	0.466
803.5	0.476
804.0	0.472
804.5	0.465
805.0	0.464
805.5	0.462
806.0	0.469
806.5	0.478
807.0	0.487
807.5	0.488
808.0	0.492
808.5	0.489
809.0	0.483
809.5	0.473
810.0	0.465
810.5	0.465
811.0	0.471
811.5	0.471
812.0	0.469
812.5	0.479
813.0	0.493
813.5	0.485
814.0	0.478
814.5	0.460
815.0	0.442
815.5	0.432
816.0	0.435
816.5	0.432
817.0	0.436
817.5	0.458
818.0	0.471
818.5	0.469
819.0	0.467
819.5	0.466
820.0	0.467
820.5	0.464
821.0	0.467
821.5	0.469
822.0	0.477
822.5	0.485
823.0	0.483
823.5	0.478
824.0	0.468
824.5	0.472
825.0	0.469
825.5	0.457
826.0	0.450
826.5	0.450
827.0	0.445
827.5	0.442
828.0	0.436
828.5	0.435
829.0	0.439
829.5	0.458
830.0	0.467
830.5	0.469
831.0	0.474
831.5	0.480
832.0	0.474
832.5	0.468
833.0	0.463
833.5	0.454
834.0	0.448
834.5	0.450
835.0	0.441
835.5	0.432
836.0	0.438
836.5	0.443
837.0	0.444
837.5	0.452
838.0	0.470
838.5	0.480
839.0	0.491
839.5	0.494
840.0	0.493
840.5	0.498
841.0	0.512
841.5	0.508
842.0	0.517
842.5	0.527
843.0	0.531
843.5	0.496
844.0	0.469
844.5	0.437
845.0	0.400
845.5	0.387
846.0	0.388
846.5	0.386
847.0	0.420
847.5	0.437
848.0	0.455
848.5	0.453
849.0	0.462
849.5	0.464
850.0	0.448


12
5/29/2024 6:22 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34667	
//WLCalib: 261S 	-0.23000	
//WLCalib: 362S 	-0.96000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	-0.453
190.5	-0.641
191.0	-0.457
191.5	-0.356
192.0	-0.302
192.5	-0.281
193.0	-0.269
193.5	-0.271
194.0	-0.283
194.5	-0.335
195.0	-0.395
195.5	-0.429
196.0	-0.358
196.5	-0.360
197.0	-0.361
197.5	-0.365
198.0	-0.388
198.5	-0.369
199.0	-0.274
199.5	-0.246
200.0	-0.303
200.5	-0.064
201.0	0.000
201.5	0.291
202.0	0.746
202.5	1.468
203.0	2.026
203.5	2.931
204.0	3.662
204.5	4.338
205.0	4.791
205.5	5.284
206.0	5.607
206.5	5.991
207.0	6.423
207.5	6.912
208.0	7.199
208.5	7.601
209.0	7.860
209.5	8.003
210.0	8.126
210.5	8.259
211.0	8.384
211.5	8.449
212.0	8.578
212.5	8.818
213.0	8.804
213.5	8.928
214.0	8.972
214.5	9.010
215.0	9.092
215.5	9.222
216.0	9.234
216.5	9.350
217.0	9.615
217.5	9.877
218.0	10.093
218.5	10.498
219.0	10.894
219.5	11.323
220.0	11.726
220.5	12.092
221.0	12.368
221.5	12.665
222.0	13.003
222.5	13.223
223.0	13.476
223.5	13.754
224.0	14.086
224.5	14.472
225.0	14.836
225.5	15.297
226.0	15.993
226.5	16.985
227.0	18.204
227.5	19.427
228.0	20.587
228.5	21.575
229.0	22.282
229.5	22.655
230.0	22.631
230.5	22.359
231.0	21.967
231.5	21.555
232.0	21.188
232.5	20.853
233.0	20.597
233.5	20.468
234.0	20.506
234.5	20.647
235.0	20.794
235.5	20.927
236.0	21.042
236.5	21.160
237.0	21.286
237.5	21.402
238.0	21.525
238.5	21.722
239.0	22.032
239.5	22.507
240.0	23.142
240.5	23.712
241.0	24.155
241.5	24.442
242.0	24.615
242.5	24.767
243.0	24.761
243.5	24.678
244.0	24.475
244.5	24.251
245.0	24.047
245.5	23.724
246.0	23.337
246.5	23.014
247.0	22.919
247.5	22.778
248.0	22.809
248.5	23.053
249.0	23.135
249.5	23.020
250.0	22.859
250.5	22.634
251.0	22.492
251.5	22.557
252.0	22.327
252.5	22.168
253.0	22.296
253.5	22.321
254.0	22.004
254.5	21.719
255.0	21.400
255.5	21.262
256.0	21.324
256.5	21.398
257.0	21.351
257.5	21.345
258.0	21.331
258.5	21.268
259.0	21.166
259.5	21.230
260.0	21.240
260.5	21.452
261.0	21.456
261.5	21.331
262.0	21.559
262.5	21.767
263.0	22.085
263.5	22.087
264.0	21.949
264.5	21.854
265.0	21.727
265.5	21.651
266.0	21.501
266.5	21.258
267.0	21.645
267.5	21.663
268.0	21.830
268.5	21.641
269.0	21.290
269.5	21.269
270.0	21.374
270.5	21.558
271.0	21.819
271.5	21.921
272.0	22.226
272.5	22.049
273.0	22.188
273.5	22.062
274.0	21.658
274.5	21.934
275.0	21.920
275.5	21.767
276.0	21.666
276.5	21.471
277.0	21.289
277.5	21.063
278.0	21.023
278.5	21.026
279.0	21.105
279.5	21.444
280.0	21.292
280.5	21.058
281.0	20.924
281.5	20.752
282.0	20.594
282.5	20.375
283.0	20.339
283.5	20.405
284.0	20.391
284.5	20.353
285.0	20.207
285.5	20.130
286.0	20.096
286.5	20.054
287.0	19.826
287.5	19.698
288.0	19.745
288.5	19.569
289.0	19.449
289.5	19.374
290.0	19.309
290.5	19.382
291.0	19.399
291.5	19.399
292.0	19.323
292.5	19.234
293.0	19.130
293.5	18.990
294.0	18.960
294.5	18.846
295.0	18.718
295.5	18.692
296.0	18.663
296.5	18.455
297.0	18.316
297.5	18.165
298.0	18.153
298.5	18.134
299.0	18.108
299.5	18.088
300.0	18.054
300.5	18.002
301.0	17.928
301.5	17.847
302.0	17.782
302.5	17.723
303.0	17.632
303.5	17.617
304.0	17.588
304.5	17.552
305.0	17.565
305.5	17.544
306.0	17.533
306.5	17.518
307.0	17.401
307.5	17.295
308.0	17.189
308.5	17.199
309.0	17.108
309.5	17.070
310.0	17.081
310.5	17.196
311.0	17.176
311.5	17.108
312.0	17.115
312.5	17.077
313.0	17.078
313.5	17.082
314.0	17.021
314.5	16.986
315.0	16.978
315.5	17.027
316.0	16.904
316.5	16.825
317.0	16.750
317.5	16.700
318.0	16.663
318.5	16.653
319.0	16.626
319.5	16.614
320.0	16.689
320.5	16.712
321.0	16.736
321.5	16.730
322.0	16.642
322.5	16.686
323.0	16.574
323.5	16.567
324.0	16.550
324.5	16.471
325.0	16.479
325.5	16.423
326.0	16.335
326.5	16.261
327.0	16.230
327.5	16.208
328.0	16.073
328.5	16.059
329.0	16.041
329.5	15.990
330.0	15.957
330.5	15.839
331.0	15.742
331.5	15.748
332.0	15.671
332.5	15.595
333.0	15.579
333.5	15.486
334.0	15.507
334.5	15.513
335.0	15.482
335.5	15.446
336.0	15.404
336.5	15.397
337.0	15.384
337.5	15.400
338.0	15.364
338.5	15.265
339.0	15.267
339.5	15.184
340.0	15.126
340.5	15.027
341.0	14.906
341.5	14.884
342.0	14.823
342.5	14.731
343.0	14.654
343.5	14.570
344.0	14.513
344.5	14.473
345.0	14.469
345.5	14.442
346.0	14.439
346.5	14.422
347.0	14.319
347.5	14.300
348.0	14.305
348.5	14.260
349.0	14.219
349.5	14.190
350.0	14.128
350.5	14.076
351.0	14.040
351.5	13.952
352.0	13.848
352.5	13.817
353.0	13.798
353.5	13.759
354.0	13.681
354.5	13.645
355.0	13.610
355.5	13.588
356.0	13.562
356.5	13.515
357.0	13.466
357.5	13.427
358.0	13.375
358.5	13.315
359.0	13.262
359.5	13.238
360.0	13.213
360.5	13.176
361.0	13.145
361.5	13.143
362.0	13.130
362.5	13.108
363.0	13.081
363.5	13.020
364.0	12.966
364.5	12.928
365.0	12.877
365.5	12.826
366.0	12.788
366.5	12.789
367.0	12.778
367.5	12.779
368.0	12.782
368.5	12.743
369.0	12.710
369.5	12.674
370.0	12.631
370.5	12.566
371.0	12.498
371.5	12.478
372.0	12.447
372.5	12.426
373.0	12.426
373.5	12.411
374.0	12.404
374.5	12.389
375.0	12.387
375.5	12.359
376.0	12.368
376.5	12.369
377.0	12.362
377.5	12.378
378.0	12.365
378.5	12.328
379.0	12.302
379.5	12.266
380.0	12.279
